Movie_Title,Week1_Avg,Week2_Avg,Week3_Avg
앤트맨과 와스프: 퀀텀매니아,6.909547738693467,6.537313432835821,6.501831501831502
외계+인 1부,6.126666666666667,7.0233644859813085,7.108108108108108
잠,7.787709497206704,7.572815533980583,7.580357142857143
외계+인 2부,8.843137254901961,8.30078125,8.02846975088968
위시,0.0,0.0,0.0
달짝지근해: 7510,9.06132075471698,9.04,8.927835051546392
브로커,5.68936170212766,5.270175438596492,5.176271186440678
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",8.534246575342467,8.380165289256198,8.170886075949367
인생은 아름다워,9.722222222222221,9.645833333333334,9.633858267716535
드림,0.0,0.0,0.0
비공식작전,9.212435233160623,9.255555555555556,9.208333333333334
1947 보스톤,9.229571984435797,8.947368421052632,8.938566552901024
댓글부대,8.36283185840708,8.397058823529411,8.357859531772576
스파이더맨: 어크로스 더 유니버스,9.39041095890411,9.387387387387387,9.4031007751938
데시벨,7.828729281767956,7.808695652173913,7.81404958677686
정직한 후보2,7.775229357798165,7.835249042145594,7.6571428571428575
아쿠아맨과 로스트 킹덤,7.984536082474227,8.054054054054054,8.081560283687944
인디아나 존스: 운명의 다이얼,8.317460317460318,8.133620689655173,8.112903225806452
장화신은 고양이: 끝내주는 모험,9.093333333333334,9.109375,9.19186046511628
블랙 아담,8.392156862745098,8.345360824742269,8.274881516587678
트랜스포머: 비스트의 서막,8.282178217821782,8.17283950617284,8.136363636363637
대외비,6.273504273504273,6.346153846153846,6.322222222222222
자백,8.795454545454545,8.679611650485437,8.701960784313725
프레디의 피자가게,7.333333333333333,6.967213114754099,6.8311688311688314
리바운드,9.4,9.427312775330396,9.434426229508198
더 마블스,3.9,3.8705357142857144,3.869918699186992
귀공자,9.57258064516129,9.586805555555555,9.591973244147157
유령,0.0,0.0,0.0
인어공주,,,
플래시,0.0,0.0,0.0
압꾸정,6.311827956989247,5.962616822429907,5.802631578947368
바비,,,
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,8.31578947368421,8.236363636363636,8.118421052631579
남은 인생 10년,8.333333333333334,8.35593220338983,8.08860759493671
괴물,9.25,9.306878306878307,9.302631578947368
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",6.519083969465649,6.584699453551913,6.511210762331839
3일의 휴가,8.836257309941521,8.65,8.576744186046511
더 문,0.0,0.0,0.0
고질라 X 콩: 뉴 엠파이어,8.83,8.858407079646017,8.814814814814815
동감,6.413173652694611,6.3173076923076925,6.246511627906977
소년들,7.8441558441558445,7.699481865284974,7.701421800947867
늑대사냥,4.624365482233503,4.485849056603773,4.367713004484305
뽀로로 극장판 드래곤캐슬 대모험,9.419354838709678,8.8,8.943661971830986
신비아파트 극장판 차원도깨비와 7개의 세계,9.285714285714286,9.040816326530612,9.03448275862069
타겟,7.903225806451613,7.860986547085202,7.853658536585366
스위치,8.066037735849056,8.165745856353592,8.17910447761194
놉,7.214285714285714,7.286792452830189,7.253731343283582
서치 2,8.383116883116884,8.358585858585858,8.355855855855856
리멤버,0.0,0.0,0.0
트롤: 밴드 투게더,8.647058823529411,8.47191011235955,8.495049504950495
인시디어스: 빨간 문,6.920454545454546,6.693548387096774,6.6879432624113475
싱글 인 서울,8.33160621761658,8.169354838709678,8.091603053435115
카운트,0.0,0.0,0.0
뽀로로 극장판 슈퍼스타 대모험,9.666666666666666,9.32258064516129,9.147058823529411
에브리씽 에브리웨어 올 앳 원스,,,
상견니,8.132596685082873,8.176470588235293,8.205020920502092
도그데이즈,0.0,0.0,0.0
더 넌 2,7.070422535211268,7.032608695652174,6.868292682926829
탄생,0.0,0.0,0.0
소풍,8.85,8.807692307692308,8.902439024390244
인투 더 월드,9.038461538461538,8.871794871794872,8.824742268041238
버즈 라이트이어,7.5,7.410377358490566,7.413636363636364
웅남이,7.546875,7.715909090909091,7.667844522968198
거미집,,,
극장판 스파이 패밀리 코드 : 화이트,8.293706293706293,8.297142857142857,8.232673267326733
용감한 시민,8.47191011235955,8.16,8.03765690376569
화란,6.927272727272728,6.819905213270142,6.723981900452489
크리에이터,0.0,0.0,0.0
옥수역귀신,4.761904761904762,5.682926829268292,6.892307692307693
아임 히어로 더 파이널,9.974545454545455,9.96039603960396,9.961290322580645
DC 리그 오브 슈퍼-펫,7.7421875,7.6440677966101696,7.701421800947867
데드맨,0.0,0.0,0.0
소울메이트,0.0,0.0,0.0
극장판 헬로카봇: 수상한 마술단의 비밀,8.5,8.261904761904763,8.322147651006711
메간,7.708333333333333,7.625,7.612612612612613
나폴레옹,7.565789473684211,7.297752808988764,7.315508021390374
젠틀맨,7.596899224806202,7.2288557213930345,7.1629955947136565
극장판 뽀로로와 친구들: 바이러스를 없애줘!,10.0,9.666666666666666,9.5
스턴트맨,8.052980132450331,8.01639344262295,8.015873015873016
바빌론,0.0,0.0,0.0
브레드이발소: 셀럽 인 베이커리타운,8.576923076923077,8.5,8.526315789473685
멍뭉이,8.5,8.453846153846154,8.390070921985815
킬링 로맨스,7.148148148148148,7.575510204081633,7.753623188405797
헝거게임: 노래하는 새와 뱀의 발라드,8.123188405797102,8.106741573033707,8.076530612244898
오멘: 저주의 시작,8.253333333333334,7.982062780269058,7.872509960159363
오펀: 천사의 탄생,7.2772277227722775,7.076470588235294,7.09375
극장판 엄마 까투리: 도시로 간 까투리 가족,9.1875,8.906976744186046,9.0
퍼피 구조대: 더 마이티 무비,9.4375,8.885714285714286,8.904761904761905
플라워 킬링 문,0.0,0.0,0.0
마루이 비디오,6.7560975609756095,6.530612244897959,6.60377358490566
가여운 것들,7.822857142857143,7.657276995305164,7.6535087719298245
아가일,7.323529411764706,7.3023255813953485,7.342105263157895
극장판 슈퍼윙스: 맥시멈 스피드,9.444444444444445,9.0,9.0
보호자,0.0,0.0,0.0
길위에 김대중,9.742857142857142,9.80327868852459,9.706666666666667
패스트 라이브즈,7.082191780821918,7.141414141414141,7.172727272727273
블루 자이언트,9.051546391752577,8.979310344827587,9.01578947368421
몬스터 패밀리 2,7.944444444444445,7.826086956521739,7.8
다음 소희,8.962962962962964,9.094736842105263,9.10593220338983
