Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors,movieCd,fd_rank,w1_rank,w2_rank,w1_au,w2_au,w3_au
136.0,젠틀맨,2022-12-28,2117151503.0,0.001,2117151503.0,224718.0,224718.0,751.0,16008.0,한국,한국,"(주)트릭스터,주식회사 에이치앤드엔터테인먼트",플러스엠 엔터테인먼트,15세이상관람가,범죄,김경원,"정혜자,주지훈,박성웅,최성은,강홍석,이달,박혜은,권한솔,이서환,박지훈,표영서,장천,임성재,이현균,한사명,곽민규,김난희,송광주,김귀선,한으뜸,오아연,한동희,김은민,최희진,김승비,이화정,이훈경,마웅규,최창욱,송방호,이윤재,임종화,홍석빈,조석인,배성일,박형준,이용석,김연진,서태왕,나경철,안예은,유병선,여성환",20210140,3,4,10,198784,216418,219375
137.0,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,1953049000.0,0.001,1953049000.0,216905.0,216905.0,380.0,9917.0,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,박영균,"이선,이미자,김현지,홍소영,정미숙,김서영,김환진,이호산,엄상현",20228308,9,10,10,86075,139723,163262
138.0,스턴트맨,2024-05-01,2179224982.0,0.001,2179224982.0,214121.0,214121.0,801.0,17025.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,코미디,멜로/로맨스",데이빗 레이치,"라이언 고슬링,에밀리 블런트,애론 테일러 존슨,윈스턴 듀크,스테파니 수,테레사 팔머",20235613,3,2,5,180840,208520,213556
139.0,바빌론,2023-02-01,2150176805.0,0.001,2150176805.0,213635.0,213635.0,852.0,21533.0,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,드라마,데이미언 셔젤,"브래드 피트,마고 로비,디에고 칼바,진 스마트,조반 아데포,리 준 리,토비 맥과이어",20227374,4,4,7,114653,171209,191239
140.0,원피스 필름 레드,2022-11-30,2196993724.0,0.001,2196993724.0,206770.0,206770.0,550.0,15540.0,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,애니메이션,타니구치 고로,,20227445,3,6,6,129068,178059,186067
142.0,브레드이발소: 셀럽 인 베이커리타운,2024-03-01,1722437580.0,0.001,1722437580.0,201256.0,201256.0,342.0,8130.0,한국,한국,㈜브레드이발소,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,애니메이션,정지환,"엄상현,박윤희,강시현,홍범기,김현욱,송하림,조경이,정주원,윤아영,김신우",20247437,4,14,26,109783,149123,170270
143.0,멍뭉이,2023-03-01,1832643386.0,0.001,1832643386.0,196529.0,196529.0,649.0,15443.0,한국,한국,"(주)와이웍스엔터테인먼트,(주)돈키호테엔터테인먼트",(주)키다리스튜디오,전체관람가,드라마,김주환,"유연석,차태현",20227684,5,7,8,117635,151836,164423
144.0,킬링 로맨스,2023-04-14,1833415642.0,0.001,1833415642.0,191650.0,191650.0,998.0,26101.0,한국,한국,"(주)영화사 이창,쇼트케이크(주)",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,코미디,이원석,"이상진,이하늬,이선균,공명,배유람,심달기,최준규,신민재,주광현,강학수,서정식,김영현,황대기,윤세웅,최종윤,정윤하,이서이,김준,김원진,한상철,이은주,김상욱,김상욱,오윤수,조현진,심우성,홍기주,원진호,최민국,최민국,신용식,안정호,한지호,조청원,김재호,박상원,이순성,권정우,손수호,이유진,이주성,송지훈,송태완,조애리,이도영,정동현,손주영,유요한,손선아,곽정길,정지민,김윤숙,김춘기,곽장륜,진범일,조승원,차유주,박은철,정경천,임현정,모일영,진성현,한성관,임유진,심달기,최덕문,오정세",20200154,3,5,9,100751,158827,180298
145.0,톡 투 미,2023-11-01,1759944371.0,0.001,1759944371.0,186426.0,186426.0,604.0,17737.0,호주,"호주,영국",,"주식회사 올랄라스토리,롯데컬처웍스(주)롯데시네마",15세이상관람가,공포(호러),"대니 필리푸,마이클 필리푸",,20234666,3,4,6,104581,150416,177290
146.0,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,1811452126.0,0.001,1811452126.0,185507.0,185507.0,986.0,19755.0,미국,미국,,(주)누리픽쳐스,15세이상관람가,"액션,어드벤처,SF,스릴러",프란시스 로렌스,"레이첼 지글러,톰 블라이스,헌터 샤퍼,비올라 데이비스,피터 딘클리지,제이슨 슈왈츠먼",20234797,2,2,4,143030,175111,182378
