w1_au,w2_au,w1_av_sc,slope,nt_ch
180840,27680,240.9822958309537,-2.8113189015715974,3.468169448241966
114653,56556,143.7268982808023,-3.773290221397645,-20.11458448937136
109783,39340,478.80436137071655,-12.73545491797077,-39.65572866946872
117635,34201,206.68800200803213,-9.189935617383671,-30.13967412145115
100751,58076,122.05901696088613,-5.669477163260249,-18.61998188649508
143030,32081,159.96325291580126,-6.712886981327373,-32.40210174871549
101948,50742,166.6984349451063,-0.3803247987539159,-11.127466378029894
115028,46562,176.77189901207467,-2.774443380116661,-18.76676563741551
100240,44812,203.5625181317088,-3.3231224092475435,-14.139272887064976
81269,37155,235.95313148071332,-3.325928816729373,-29.512759286385545
95306,41683,156.20276281901195,-4.452797012808572,-18.9568037574582
121557,34421,499.3538732394366,-6.018088555716384,-19.491389776346253
79102,36979,179.54409857328145,1.7532310356856016,-1.2746602565943732
117426,21374,153.0407745298827,-7.03467723815412,-17.686009502494223
66565,47644,199.1260683760684,-2.096109512808573,-18.251543911695897
107775,17132,174.55460434983803,-14.247875173000752,-61.14929641370494
65322,33270,162.03189227498223,-0.6914735877477265,-4.0471425753054575
67148,27133,115.0920666013712,-3.980103477906373,-21.247636550119477
52221,18510,96.24723538704582,-1.871917261177949,-5.715085193987534
75348,31469,187.9672131147541,-9.764615655651951,-36.53560033709186
48437,23369,91.24300322927878,-3.192054103999048,-18.799518226984453
75749,22059,145.43143170597915,-3.328326295520939,-17.365938681188766
26606,12011,144.7101787101787,-8.336992102222741,-22.54798668019874
65884,23601,164.8277340957827,5.828804830207669,30.099952623680736
87424,16372,141.52821461609622,-5.630986217381612,-31.16001545188839
60714,31909,128.5535390199637,-2.3940338292451906,-16.48016649594846
86289,17953,182.5946191051995,-7.11924231189641,-24.87631353040642
68559,20523,168.44963144963145,-2.5220262879501045,-11.727580871316214
38111,21778,166.5274656679151,-5.111553459309808,-14.24647680303292
74944,24967,148.4459535936616,1.671321669661954,4.24694566051825
83636,16347,130.4773790951638,-8.36617274794013,-37.936613903767885
69019,11289,113.25199249882796,-6.69401836164448,-21.69765553908242
51792,21823,181.00049925112327,-5.495112369951429,-32.92884981539892
68122,19596,177.86422976501305,-5.5454159065899455,-25.07070255116617
65773,23717,562.8496332518337,-7.126899204735031,-21.903441963401864
45974,21339,196.83058103975537,-3.9525712985228574,-20.96321896053913
42548,18674,102.63128876636804,-1.7667840574897735,-13.795506126231224
67742,11961,119.83674500884509,-4.132674979763753,-21.48095640078837
35455,19397,80.65810854728632,3.148617777512274,11.352078763459346
68861,9116,102.03789161727347,-7.063039833179092,-31.64305503266486
27346,15814,184.23676612127048,-6.178684331828543,-16.504119366569896
42755,14155,140.4434537775692,-4.088445094257739,-25.813944136065565
56177,7549,170.23333333333332,-0.3278206872858829,3.686767475712486
60005,1983,114.98357514371747,-5.427962920311289,-23.506828845898703
57231,5229,96.79077071756464,-10.786474395873151,-44.729349284476086
36734,12214,111.94514584240312,-6.743308559080696,-15.421164555351725
25719,9608,313.6463414634146,-4.957000941380002,-23.10390020319231
39715,13940,164.2085056113408,-1.4826331872858831,-0.7770047395178352
31297,9212,625.94,3.248244312714117,22.003671446612536
21721,5046,202.19015957446803,-1.9423542516845296,-12.242298772048962
31534,16827,272.18002466091247,0.8549785984284034,9.251991052681744
49340,8120,92.74436090225564,-5.844841004032732,-26.08083512729885
29405,12320,109.31226765799256,-4.609770124105166,-18.49256441464156
39855,9631,102.41740088105723,-5.937380437542326,-27.72609984005505
26580,8997,138.54058078927773,-7.881473546224821,-24.695145290988684
34076,10246,133.48181309457192,-6.415597332243957,-21.64330797733872
29688,10703,390.6315789473685,-2.52952885198657,-13.408001708201311
36084,8990,159.3615141955836,-7.219276912201222,-26.507385118509426
41028,7871,105.27712609970676,3.2105653841426887,30.37075494508916
35925,10775,161.82432432432432,-3.338087818300348,-17.365052893796587
26228,14436,263.40889526542327,1.1500143826908025,10.110476500281038
12183,7198,190.359375,-2.3675094727686976,-9.765667502167858
32728,12181,113.18972332015808,0.3253936164518633,-4.595959502775948
40075,2756,72.88256690049363,-7.644833417851392,-44.06046932293965
27730,10456,90.3257328990228,-4.487976754947764,-21.855620469172464
25724,12588,148.32619439868205,-2.994339655984342,-11.644092545513873
15705,9543,271.4444444444445,-1.5384359413799995,-1.8003728300263615
22132,8281,163.24973656480503,-4.666257524040598,-18.5620784807056
30598,12473,81.40858988977577,-3.3632371400869587,-21.737831563804946
31407,10175,141.29113110539845,-5.162961462584477,-26.23599607378179
4699,4230,74.9271070615034,-3.856790584237144,-16.23710590968905
16547,6668,109.37582625118036,-0.1731442587144539,11.602821010627352
14604,9060,217.04458598726112,-4.493181810742001,-17.60667682325201
9661,4526,138.2965235173824,-1.4436834468715698,-3.7037562909891903
26541,9036,77.99622166246851,-6.477001050818914,-29.26874223063654
31745,5315,82.91604477611942,-1.3590909415606145,-9.341552877559067
20698,7648,110.2633181126332,-6.247594194365166,-22.687155355834577
29500,7161,89.54900260190806,-8.78964978250447,-40.04533039303506
30183,5878,126.89549549549548,-3.09445920609416,-13.7858550132055
31295,3756,83.13662239089184,-10.952023332477868,-42.815767292733874
21311,9468,267.82226211849195,-7.252577850568248,-23.266236985041623
