Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors,movieCd,fd_rank,w1_rank,w2_rank,w1_au,w2_au,w3_au,w1_av_sc,w2_av_sc,w3_av_sc,Distributor_Sc
33.0,육사오(6/45),2022-08-24,19793028880.0,0.0069999999999999,19793028880.0,1981014.0,1981014.0,1339.0,105937.0,한국,한국,"(주)티피에스컴퍼니,(주)싸이더스","(주)홈초이스,(주)싸이더스",12세이상관람가,코미디,박규태,"이학주,고경표,이이경,음문석,박세완,이순원,곽동연,김민호,류승수,윤병희,이준혁,신원호,남도윤,서정우,최민혁,배한솔,정상철,강길준,김건우,김슬민,오병곤,윤지용,박치우,이학주,김관모,홍민기,김민규,김백겸,문경민,박혁진,유병수,이태경,윤지홍,손경표,강운,최현태,서한돌,이동환,구본혁,김진형,송호제,신문선,이건록,이동기,이수,이시안,이지운,정시훈,채원우,최기표,황민혁,황태훈,최원,서지원,오혜금,편한마음,김재민,이종훈,조미초,이예진,정인기,박희진,이현걸,오현수,정용식",20217826,2,1,1,585230,1216484,1687054,1063.428571428571,1246.2857142857142,816.5714285714286,B
34.0,존 윅 4,2023-04-12,19956652129.0,0.008,19956652129.0,1924768.0,1924768.0,1535.0,89561.0,미국,미국,,(주)레드아이스 엔터테인먼트,청소년관람불가,액션,채드 스타헬스키,"키아누 리브스,로렌스 피쉬번,이안 맥쉐인,빌 스카스가드,견자단",20231089,1,1,1,830375,1307061,1682943,1467.7142857142858,1418.0,856.1428571428571,D
35.0,천박사 퇴마 연구소: 설경의 비밀,2023-09-27,18635492555.0,0.0069999999999999,18635492555.0,1916429.0,1916429.0,1511.0,98823.0,한국,한국,(주)외유내강,(주)씨제이이엔엠,12세이상관람가,"판타지,액션",김성식,"김영빈,강동원,허준호,이솜,이동휘,김종수,박소이,윤병희,주보비,박경혜,이규호,김원해,박정민,조이현,이정은,박명훈,지수,박지홍,권오철,이동찬,민효경,오현석,박주환,배영란,구시연,전소현,송길호,고재원,김태야,최재옥,김태진,김현준,김승필,장주완,이보람,장우용",20227410,1,2,2,1512444,1765930,1865732,1417.7142857142858,1016.8571428571428,731.7142857142857,A
36.0,헤어질 결심,2022-06-29,19740856178.0,0.0069999999999999,19740856178.0,1904147.0,1904147.0,1374.0,80670.0,한국,한국,모호필름,(주)씨제이이엔엠,15세이상관람가,"미스터리,멜로/로맨스",박찬욱,"박해일,탕웨이,이정현,고경표,김신영,정영숙,유승목,서현우,정이서,이학주,정소리,신안진,김도연,고민시,차서원,주인영,윤성원,최선자,진용욱,안진상,박정민,박용우,정하담,최대훈,김미화,곽은진,안성봉,김성곤,문순주,현직,한서울,김도담,문정대,유인혜,권혁성,차상도,강경수,유태오,이지하,전성애,이경민,이용녀,김귀례,김도담,유다솜,김민준,김국진,김상현",20209654,2,2,3,613512,969260,1320364,1198.0,679.7142857142857,818.2857142857143,A
37.0,분노의 질주: 라이드 오어 다이,2023-05-17,18474636210.0,0.0069999999999999,18474636210.0,1773483.0,1773483.0,1731.0,93156.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,루이스 리테리어,"빈 디젤,제이슨 모모아,제이슨 스타뎀,샤를리즈 테론,브리 라슨,미셸 로드리게즈,성 강",20231592,1,1,1,963809,1606839,1735669,1684.0,1416.142857142857,597.8571428571429,B
38.0,쿵푸팬더4,2024-04-10,16520718004.0,0.006,16520718004.0,1769764.0,1769764.0,2311.0,103177.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"애니메이션,액션,코미디","마이크 미첼,스테파니 스티네","잭 블랙,아콰피나,비올라 데이비스,더스틴 호프만,제임스 홍,브라이언 크랜스톤,이눈솔",20236614,1,1,1,925668,1274550,1404571,1806.428571428572,1213.0,575.1428571428571,B
39.0,교섭,2023-01-18,17460908740.0,0.0069999999999999,17460908740.0,1721100.0,1721100.0,1289.0,92618.0,한국,한국,"(주)영화사수박,원테이크필름",플러스엠 엔터테인먼트,12세이상관람가,드라마,임순례,"황정민,도기범,현빈,강기영,조윤상",20190808,1,1,2,1137854,1489058,1644332,1270.0,921.4285714285714,749.0,A
40.0,시민덕희,2024-01-24,16138750097.0,0.006,16138750097.0,1709827.0,1709827.0,1281.0,96231.0,한국,한국,"(주)씨제스엔터테인먼트,페이지원필름(주)",(주)쇼박스,15세이상관람가,드라마,박영주,"라미란,공명,염혜란,박병은,장윤주,이무생,안은진,김율호",20206946,1,1,2,597801,987778,1511490,1186.7142857142858,1002.1428571428572,994.8571428571428,A
41.0,앤트맨과 와스프: 퀀텀매니아,2023-02-15,16346738806.0,0.006,16346738806.0,1551129.0,1551129.0,2090.0,104768.0,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,액션,페이튼 리드,"폴 러드,에반젤린 릴리,미셀 파이퍼,마이클 더글라스",20230209,1,1,2,975633,1376484,1520016,1939.7142857142856,1106.571428571429,624.2857142857143,A
42.0,외계+인 1부,2022-07-20,16009890548.0,0.006,16009890548.0,1541020.0,1541020.0,1959.0,68420.0,한국,한국,(주)케이퍼필름,(주)씨제이이엔엠,12세이상관람가,"액션,판타지,SF",최동훈,"류준열,김우빈,김태리,소지섭,염정아,조우진,김의성,이하늬,신정근,이시훈,김대명,최유리,김기천,윤병희,지건우,윤경호,옥자연,이현걸,김해숙,유재명,전여빈,김민서,김민준,이선희,백현주,최광제,심달기,조하이,김루아,김강일,이동희,김찬형,박무염,송영광,이동용,장준휘,한성수,김정한,김왕도,김세홍,김만호,김민체,박광재,박수진,김선혁,김우현,김민환,김재현,김윤도,김진욱,김한솔,문바롬,박수찬,성백인,안재원,이태환,이보영,윤상원,손주환,김단비,지한아,김빛나래,김세정,민정은,배윤민,정지원,지성은,전아희,한수아,고나영,박시연,송지혁,우상기,김선혁,한승윤,박인규,강정민,이희규,변진수,양미선,이병욱,장규식,전경희,강춘선,강차욱,김문조,조한길,류관후,김방선,전은미,정민규,고유준,전진기,이원민,이택근,서석규,한동훈,남지우,박래영,임보현,임우진,신혜지,김지선,김예주,이주혁,하시연,차영주,이수진,김수현,현오봉,김승준,박건률,선인호,이동석,조운성,조진결,한지훈,황인직,이준창,황재운,임재민,강기원,전원표,정예서,민새희,오채은,이하주,유독현,이가현,김현식,박종범,이섭정,강한별,김솔로몬,장석준,이수형",20208446,1,2,5,1067857,1434562,1506512,1725.2857142857142,734.5714285714286,384.0,A
