Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
5600,포세이돈 어드벤쳐,1974-02-27 00:00:00,26000,0,7173000,13,3520,1,1,미국,미국,이십세기폭스필름코퍼레이션,,15세이상관람가,"드라마,어드벤처",로날드 님,"어네스트 보그나인,레드 버튼스"
5600,하루,2015-08-06 00:00:00,78000,0,15201500,13,2204,1,1,이란,이란,,THE 픽쳐스,15세이상관람가,드라마,레자 미르카리미,"파비즈 파라스투이,소헤일라 고레스타니"
5600,환절기,2018-02-22 00:00:00,105000,0,53060000,13,6605,1,5,한국,한국,명필름랩,(주)리틀빅픽쳐스,15세이상관람가,드라마,이동은,"배종옥,이원근,지윤호,박원상,서정연,우지현,김예은,김자영,백지원,이지현,정혜수,박혜진"
5634,Diff 2019 경쟁9,,84000,0,84000,12,12,1,1,한국,한국,,,,기타,,
5634,Diff 2019 로컬존,,83000,0,83000,12,12,1,1,한국,한국,,,,드라마,,
5634,FIWOM 2019 피움초이스6,,84000,0,84000,12,12,1,1,기타,기타,,,,드라마,,
5634,SICAF2018 경쟁: 단편2,,60000,0,60000,12,12,1,1,기타,기타,,,,애니메이션,,
5634,[네마프2018] 한국 단편 3 - 대안적 네러티브 II,,60000,0,60000,12,12,1,2,한국,한국,,,,기타,,
5634,갯마을,,120000,0,120000,12,12,1,3,한국,한국,,,,드라마,김수용,"신영균,고은아"
5634,내 배우 영업전_한해인,,84000,0,84000,12,12,1,1,한국,한국,,,,기타,,
5634,달콤한 잠,,80000,0,405000,12,77,1,1,캄보디아,"캄보디아,프랑스",,,,다큐멘터리,데이비 추,
5634,로렐,2016-07-07 00:00:00,120000,0,64619400,12,8521,1,1,미국,미국,,(주)엣나인필름,15세이상관람가,"드라마,멜로/로맨스",피터 솔레트,"줄리안 무어,엘렌 페이지,마이클 섀넌,스티브 카렐"
5634,로저 다스투스: 캐나다의 모더니스트,,72000,0,72000,12,12,1,1,캐나다,"캐나다,미국",,,,다큐멘터리,,
5634,말하는 건축 시티:홀,2013-10-24 00:00:00,84000,0,42434800,12,5768,1,1,한국,한국,영화사 못,(주)미디어데이,전체관람가,다큐멘터리,정재은,"유걸,이필훈,최선우,최영길,최희준"
5634,번!,,24000,0,24000,12,12,1,1,이탈리아,"이탈리아,프랑스",,,,드라마,질로 폰테코르보,"말론 브란도,에바리스토 마퀘즈"
5634,불숨,,51000,0,51000,12,12,1,3,한국,한국,영화사 숨비,,,다큐멘터리,고희영,
5634,블랭크 제너레이션,,84000,0,84000,12,12,1,1,미국,미국,,,,기타,울리 롬멜,
5634,서유기 2017: 손오공 대 요괴 백골정,2018-05-24 00:00:00,66000,0,391000,12,76,2,12,중국,중국,,(주)소나무픽쳐스,12세이상관람가,"판타지,코미디","마운,초나",
5634,셰프: 아빠의 푸드트럭,,84000,0,84000,12,12,1,1,인도,인도,,,,드라마,,
5634,어 굿 맨,,60000,0,60000,12,12,1,1,미국,미국,,,,다큐멘터리,조단 퀸,
5634,역사수업,,66000,0,66000,12,12,1,1,서독,"서독,이탈리아",,,,드라마,"다니엘 위예,장 마리 스트라우브",
5634,영화 안에 영화를 담다,,60000,0,60000,12,12,1,2,한국,한국,,,,드라마,,
5634,오만과 편견 그리고 좀비,2016-05-25 00:00:00,60000,0,76906300,12,9729,1,6,미국,"미국,영국",,(주)이수C&E,15세이상관람가,"액션,공포(호러),멜로/로맨스",버 스티어스,"릴리 제임스,샘 라일리,잭 휴스턴,더글라스 부스,맷 스미스,벨라 헤스콧"
5634,오오극장 개관5주년 특별전 – 오렌지필름,,84000,0,84000,12,12,1,1,한국,한국,,,,드라마,,
5634,우리 삼촌,,102800,0,166800,12,38,1,4,일본,일본,,,전체관람가,코미디,야마시타 노부히로,"마츠다 류헤이,오니시 리쿠"
5634,위험한 곳으로 더 가까이,,60000,0,60000,12,12,1,1,벨기에,"벨기에,기타",,,,"다큐멘터리,전쟁",,다니엘 데이 루이스
5634,인디포럼 월례비행 10월 : 송주원 단편선,,84000,0,84000,12,12,1,1,한국,한국,,,,기타,,
5634,충실한 마음,,72000,0,72000,12,12,1,1,프랑스,프랑스,,,,기타,장 엡스타인,지나 마네스
5634,카페 뤼미에르,2005-10-20 00:00:00,83000,0,57841300,12,9229,1,2,일본,일본,쇼지쿠 컴퍼니,(주)동숭아트센터,12세관람가,드라마,허우 샤오시엔,"히토토 요,아사노 타다노부"
5660,306 할리우드,,53000,0,53000,11,11,1,2,미국,"미국,헝가리",,,,다큐멘터리,,
