w1_au,w2_au,w1_av_sc,slope
262489,63317,394.2121862261317,-0.101969720213084
144351,121338,235.8676470588236,-0.1426169968539927
187360,79611,268.8091822094692,-0.0569954357011161
160614,96568,207.01491438040875,-0.1231036644768314
229326,63089,307.5252873563219,-0.1095327093079122
198258,78856,258.4850065189048,-0.1405441772183705
265637,35101,307.5010749131801,-0.1400050604246311
184506,56069,229.0780418588152,-0.0927520930713667
202133,52147,242.73992108423403,-0.1301786691337835
188757,58924,201.3868312757201,-0.1428405531284164
216084,34887,263.74681778552747,-0.05313676388302
93135,77639,328.601310483871,-0.0046315613257693
152974,38765,1129.5548523206753,-0.1596828276715821
171875,52494,307.62592687292255,0.0062533961306548
208248,28056,278.8324407039021,-0.1064147432664179
133713,60181,191.80143442622952,-0.0563388142709662
145986,52791,248.81957633308983,0.0557921755181418
142570,64794,228.4252689402609,-0.1373887315714729
162570,56314,211.4829957257016,-0.1458788867508371
198784,17634,281.05190870531203,-0.1251246956926366
86075,53648,337.54901960784315,-0.0055523678407484
180840,27680,240.9822958309537,-0.0537707836955417
114653,56556,143.7268982808023,-0.0943624751175975
109783,39340,478.80436137071655,-0.1648811321092919
117635,34201,206.68800200803213,-0.1425837855094089
100751,58076,122.05901696088613,-0.1667049732436827
143030,32081,159.96325291580126,-0.1591003339984716
101948,50742,166.6984349451063,-0.0114067041813602
115028,46562,176.77189901207467,-0.0764786672708084
100240,44812,203.5625181317088,-0.0492128801794588
81269,37155,235.95313148071332,-0.0430252788061032
95306,41683,156.20276281901195,-0.1086292600214285
121557,34421,499.3538732394366,-0.167220175151147
79102,36979,179.54409857328145,0.0486017550235922
117426,21374,153.0407745298827,-0.1206600669614229
66565,47644,199.1260683760684,-0.0467487778395385
107775,17132,174.55460434983803,-0.1404899851893924
65322,33270,162.03189227498223,-0.0350193717314942
67148,27133,115.0920666013712,-0.0973832832460178
52221,18510,96.24723538704582,-0.0818490867510969
75348,31469,187.9672131147541,-0.1814001457509909
48437,23369,91.24300322927878,-0.0930762070105446
75749,22059,145.43143170597915,-0.0927789655871359
26606,12011,144.7101787101787,-0.1110042690364995
65884,23601,164.8277340957827,0.0729831493476102
87424,16372,141.52821461609622,-0.1429878919278427
60714,31909,128.5535390199637,-0.0858592524358587
86289,17953,182.5946191051995,-0.1228828893238341
68559,20523,168.44963144963145,-0.0455408209868634
38111,21778,166.5274656679151,-0.1415188150171946
74944,24967,148.4459535936616,0.0844072865003603
83636,16347,130.4773790951638,-0.1700677705449786
69019,11289,113.25199249882796,-0.1758196013272447
51792,21823,181.00049925112327,-0.1009418672653086
68122,19596,177.86422976501305,-0.1175726411193082
65773,23717,562.8496332518337,-0.0735428366942406
45974,21339,196.83058103975537,-0.0965056501732152
42548,18674,102.63128876636804,-0.0657116167466221
67742,11961,119.83674500884509,-0.101019152555813
35455,19397,80.65810854728632,0.0959534594373645
68861,9116,102.03789161727347,-0.1545634888036549
27346,15814,184.23676612127048,-0.1305473253906128
42755,14155,140.4434537775692,-0.0814803327717098
56177,7549,170.23333333333332,-0.0066063137763087
60005,1983,114.98357514371747,-0.128824727878718
57231,5229,96.79077071756464,-0.170044486068003
36734,12214,111.94514584240312,-0.1478859258912302
25719,9608,313.6463414634146,-0.1156675193295625
39715,13940,164.2085056113408,-0.0322151181896709
31297,9212,625.94,0.0561869404193363
21721,5046,202.19015957446803,-0.0388470850336905
31534,16827,272.18002466091247,0.0321073252106138
49340,8120,92.74436090225564,-0.1549781832518444
29405,12320,109.31226765799256,-0.1394510775811735
39855,9631,102.41740088105723,-0.1612769983143281
26580,8997,138.54058078927773,-0.1628176891528911
34076,10246,133.48181309457192,-0.1718357401197343
29688,10703,390.6315789473685,-0.0639195558250928
36084,8990,159.3615141955836,-0.1178425233133849
41028,7871,105.27712609970676,0.0393637124687829
35925,10775,161.82432432432432,-0.1135297581486589
26228,14436,263.40889526542327,0.0201077232920023
12183,7198,190.359375,-0.1009273114294744
32728,12181,113.18972332015808,0.010022529661522
40075,2756,72.88256690049363,-0.1114174299111729
