w1_au,w2_au,w1_av_sc,w2_av_sc
184506,56069,229.0780418588152,129.57510729613733
202133,52147,242.73992108423403,87.93760539629005
188757,58924,201.3868312757201,88.66466036113499
216084,34887,263.74681778552747,71.48975409836065
93135,77639,328.601310483871,304.1259093452714
152974,38765,1129.5548523206753,526.9029126213593
171875,52494,307.62592687292255,144.72548247341473
208248,28056,278.8324407039021,58.659498207885306
133713,60181,191.80143442622952,114.1954459203036
145986,52791,248.81957633308983,147.28457552809883
142570,64794,228.4252689402609,122.58324324324325
162570,56314,211.4829957257016,110.63654223968564
198784,17634,281.05190870531203,93.86920152091253
86075,53648,337.54901960784315,229.685626911315
180840,27680,240.98229583095372,69.22472311539838
114653,56556,143.7268982808023,117.78994346920555
109783,39340,478.80436137071655,235.5688622754491
117635,34201,206.68800200803213,91.37671755725192
100751,58076,122.05901696088613,123.3036093418259
143030,32081,159.96325291580126,89.07854026180085
101948,50742,166.6984349451063,129.0207046857973
115028,46562,176.77189901207467,98.88774271844662
100240,44812,203.56251813170877,146.58130841121496
81269,37155,235.95313148071335,151.56468531468528
95306,41683,156.20276281901195,108.95481702763256
121557,34421,499.3538732394366,173.59293948126802
79102,36979,179.54409857328145,122.67914691943128
117426,21374,153.0407745298827,54.66496163682864
66565,47644,199.1260683760684,196.41224970553597
107775,17132,174.55460434983803,57.21564885496183
65322,33270,162.03189227498223,91.32941176470588
67148,27133,115.0920666013712,87.1243119266055
52221,18510,96.24723538704582,113.06282722513087
75348,31469,187.96721311475412,142.48576972833115
48437,23369,91.24300322927878,127.99921752738656
75749,22059,145.43143170597915,149.625
26606,12011,144.7101787101787,118.92079207920791
65884,23601,164.8277340957827,107.90790333115612
87424,16372,141.52821461609622,59.01338825952626
60714,31909,128.5535390199637,105.45939565627953
86289,17953,182.5946191051995,67.203743315508
68559,20523,168.44963144963145,142.52083333333334
38111,21778,166.5274656679151,194.1987261146497
74944,24967,148.4459535936616,90.60082944530843
83636,16347,130.4773790951638,63.43070953436807
69019,11289,113.25199249882796,247.72100313479623
51792,21823,181.00049925112327,209.83653846153845
68122,19596,177.86422976501305,74.67174741426238
65773,23717,562.8496332518337,312.0657894736842
45974,21339,196.83058103975537,116.42478565861263
42548,18674,102.63128876636804,89.59424263193968
67742,11961,119.83674500884509,59.004228329809735
35455,19397,80.65810854728632,158.99180327868854
68861,9116,102.03789161727347,40.72239948947032
27346,15814,184.23676612127048,141.37675606641125
42755,14155,140.4434537775692,163.77685950413223
56177,7549,170.23333333333332,103.00779727095517
60005,1983,114.98357514371747,210.3181818181818
57231,5229,96.79077071756464,35.43368828654404
36734,12214,111.94514584240312,85.498
25719,9608,313.6463414634146,212.1640378548896
39715,13940,164.2085056113408,80.91210613598673
31297,9212,625.94,295.79816513761466
21721,5046,202.19015957446803,121.38144329896907
31534,16827,272.18002466091247,157.052
49340,8120,92.74436090225564,54.86486486486486
29405,12320,109.31226765799256,111.13402061855668
39855,9631,102.41740088105723,119.32212389380533
26580,8997,138.54058078927773,83.08575197889182
34076,10246,133.48181309457192,118.74503311258276
29688,10703,390.6315789473685,195.10677083333337
36084,8990,159.3615141955836,70.39149888143176
41028,7871,105.27712609970676,63.04004576659039
35925,10775,161.82432432432432,107.75
26228,14436,263.40889526542327,280.7
12183,7198,190.359375,220.99122807017545
32728,12181,113.18972332015808,112.1934210526316
40075,2756,72.88256690049363,49.21428571428572
27730,10456,90.3257328990228,93.59590792838874
25724,12588,148.32619439868205,74.67457627118644
15705,9543,271.4444444444445,140.6336842105263
22132,8281,163.24973656480503,86.64723467862483
30598,12473,81.40858988977577,53.238414634146345
31407,10175,141.29113110539845,66.50326797385621
4699,4230,74.9271070615034,104.2605633802817
16547,6668,109.37582625118036,144.50773993808048
14604,9060,217.04458598726112,195.74074074074076
9661,4526,138.2965235173824,100.89808917197456
26541,9036,77.99622166246851,59.89772727272727
31745,5315,82.91604477611942,55.86336336336337
20698,7648,110.2633181126332,137.27179487179484
29500,7161,89.54900260190806,50.27783350050151
30183,5878,126.89549549549548,53.22897800776196
31295,3756,83.13662239089184,31.52517985611511
21311,9468,267.82226211849195,208.41509433962264
26428,4977,78.32176121930567,43.93316519546028
26488,4037,154.77128547579298,56.06944444444444
13194,8730,215.28671328671328,175.60344827586204
26375,3412,60.63218390804597,63.01846965699208
19326,5960,86.22179732313573,132.44444444444446
11438,6531,126.68670886075952,135.25739644970415
12696,6919,215.7087378640777,158.7967213114754
23250,3554,156.4903846153846,49.36111111111112
13737,5087,105.4375,82.23787528868361
17555,6198,128.40647857889238,74.93264248704664
8682,5608,197.9609120521173,203.39896373056996
13810,6494,171.40070921985816,97.13247863247862
12054,4859,152.58227848101265,106.62382445141068
19377,2844,87.79223300970875,57.87209302325581
14982,4578,92.72679045092838,71.37193763919822
18425,3533,180.6372549019608,67.57103825136612
13798,4435,264.6191780821917,113.3029197080292
20749,2247,97.80673400673398,62.66533864541833
16412,4445,60.11721611721612,70.39592760180994
3087,1798,61.56410256410256,76.27878787878787
14753,3477,91.0679012345679,61.46212121212121
3813804,1243795,1467.4120815698343,527.5107543168738
4170888,2842549,1778.1969669285584,1170.8746028009884
750214,372416,450.4630296791904,242.81967213114757
533800,283684,262.7337927155112,229.14701130856216
523323,221633,232.839318629632,146.62423211416686
329522,198830,303.9069828722003,228.72801972062447
408342,233037,356.3193717277487,212.56958561376075
416569,225520,290.9291629252719,205.28478543563065
432894,147053,376.7103431128792,204.4025019857029
211998,113684,314.53709198813056,158.3342618384401
273463,129211,220.6109254350581,153.71804894629503
344019,94124,217.1641266119578,108.15298752462245
271889,146255,282.5449821852731,173.84700288673798
271916,88315,277.7487231869254,164.3288144603934
253279,88439,213.73755274261603,120.95994529112936
264774,71776,386.2897040433514,138.37290002754062
137576,77078,177.7139693670419,138.41611082606465
163441,49149,167.87776962582538,83.0620473201352
150109,37025,141.0420134228188,62.527141133896265
122102,41799,140.0022932022932,79.03646677471636
80621,32817,125.66176798040526,83.1712527154236
88494,22937,129.89263996645,56.43550087873463
67681,25815,120.82810507523592,66.75471001108238
91536,19745,99.66588894073728,44.57110609480813
71067,26854,165.27209302325582,195.81041666666667
68040,16722,115.15473887814312,44.104747550866605
68483,22856,108.18799368088467,47.95923261390888
50973,19259,75.80433397068197,52.27336176812719
57602,12307,106.30477194832584,37.19732297063904
189737,108173,382.424128995105,486.3269107257546
29923,7900,115.78828081813155,52.16981132075472
27705,7785,68.31102500880591,51.12101313320826
14589,7934,88.6484375,172.47826086956522
18078,2552,106.43061396131202,26.86315789473684
13342,4033,65.67791842475386,43.43230769230769
10379,5435,205.23446327683615,106.2709497206704
