Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
272.0,"어쩌다 공주, 닭냥이 왕자를 부탁해!",2022-09-08,387143280.0,0.0,387143280.0,41140.0,41140.0,306.0,2377.0,프랑스,프랑스,,(주)팝엔터테인먼트,전체관람가,"애니메이션,판타지,어드벤처",줄리앙 프루네,
273.0,지오디 마스터피스 더 무비,2024-01-10,936338000.0,0.0,936338000.0,41021.0,41021.0,75.0,1940.0,한국,한국,,씨제이 씨지브이(CJ CGV)(주),전체관람가,공연,손석,"박준형,윤계상,데니 안/ 안신원,손호영,김태우"
274.0,너와 나,2023-10-25,379645293.0,0.0,379645293.0,39179.0,39179.0,76.0,2839.0,한국,한국,주식회사 필름영,"주식회사 필름영,그린나래미디어(주)",12세이상관람가,드라마,조현철,"박혜수,김시은"
275.0,밥 말리: 원 러브,2024-03-13,355245094.0,0.0,355245094.0,39069.0,39069.0,579.0,7392.0,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,드라마,레이날도 마커스 그린,"킹슬리 벤-어디어,라샤냐 린치,제임스 노턴"
276.0,오토라는 남자,2023-03-29,346425730.0,0.0,346425730.0,38785.0,38785.0,371.0,5894.0,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,드라마,마크 포스터,톰 행크스
277.0,틴에이지 크라켄 루비,2023-07-25,297448950.0,0.0,297448950.0,38547.0,38547.0,203.0,3723.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,커크 드 미코,
278.0,씬,2024-04-03,356935735.0,0.0,356935735.0,38433.0,38433.0,409.0,4872.0,한국,한국,(주)도어이앤엠,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,공포(호러),한동석,"김윤혜,송이재,박지훈,이상아"
279.0,TAR 타르,2023-02-22,380936984.0,0.0,380936984.0,38090.0,38090.0,197.0,3173.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,드라마,토드 필드,"케이트 블란쳇,노에미 멜랑,니나 호스"
280.0,뿌까의 짜장면파티,2022-07-04,228183500.0,0.0,228183500.0,37851.0,37851.0,34.0,908.0,한국,한국,(주)에픽캔,(주)에픽캔,전체관람가,기타,박상용,"유진주,임종웅,이은정,박중언,김기영,임재홍,신지윤,김민아,이지현,김은미,엄상현"
281.0,플레인,2023-03-15,345665658.0,0.0,345665658.0,37691.0,37691.0,358.0,5405.0,미국,미국,,(주)누리픽쳐스,15세이상관람가,"액션,스릴러",장-프랑소와 리셰,"제라드 버틀러,마이크 콜터"
282.0,덤 머니,2024-01-17,346814109.0,0.0,346814109.0,37262.0,37262.0,465.0,5959.0,미국,미국,,"그린나래미디어(주),(주)플레이그램",15세이상관람가,"코미디,드라마",크레이그 질레스피,"폴 다노,세스 로건,아메리카 페레라,쉐일린 우들리"
283.0,롱디,2023-05-10,308893500.0,0.0,308893500.0,36777.0,36777.0,262.0,4957.0,한국,한국,"트웰브져니(주),바젤레브스프로덕션",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"멜로/로맨스,코미디",임재완,"장동윤,박유나,고건한,전혜연,권동호,이서윤,조영길,방상현,강문봉,조대우,송영하,유아영,이승재,최진영,이승창,정진근,장의수,이시우"
284.0,꼬마참새 리차드: 신비한 보석 탐험대,2024-05-01,286368200.0,0.0,286368200.0,36772.0,36772.0,174.0,2189.0,독일,"독일,벨기에,노르웨이",,(주)스튜디오디에이치엘,전체관람가,애니메이션,,
285.0,골드핑거,2024-04-10,313980372.0,0.0,313980372.0,35359.0,35359.0,423.0,5721.0,홍콩,홍콩,,메가박스중앙(주),15세이상관람가,"범죄,액션",장문강,"양조위,유덕화,임달화"
286.0,뒤틀린 집,2022-07-13,331549100.0,0.0,331549100.0,34886.0,34886.0,156.0,2128.0,한국,한국,(주)테이크원스튜디오,(주)스튜디오디에이치엘,15세이상관람가,"공포(호러),드라마,스릴러",강동헌,"서영희,김민재,김보민,조수향,박혁권,오자훈,노하연,경다은,김나은,강길우,박옥출,이도아,정구현,윤상,장지원,이유정,김애라"
